Class,LOC,Wheighted Method Count
org/assertj/core/api/AbstractArrayAssert,7,1
org/assertj/core/api/AbstractAssert,199,99
org/assertj/core/api/AbstractAtomicFieldUpdaterAssert,19,8
org/assertj/core/api/AbstractAtomicReferenceAssert,14,4
org/assertj/core/api/AbstractBDDSoftAssertions,116,22
org/assertj/core/api/AbstractBigDecimalAssert,90,36
org/assertj/core/api/AbstractBigIntegerAssert,90,36
org/assertj/core/api/AbstractBooleanArrayAssert,105,31
org/assertj/core/api/AbstractBooleanAssert,27,7
org/assertj/core/api/AbstractByteArrayAssert,139,44
org/assertj/core/api/AbstractByteAssert,112,43
org/assertj/core/api/AbstractCharacterAssert,49,14
org/assertj/core/api/AbstractCharArrayAssert,102,32
org/assertj/core/api/AbstractCharSequenceAssert,176,58
org/assertj/core/api/AbstractClassAssert,50,20
org/assertj/core/api/AbstractComparableAssert,59,25
org/assertj/core/api/AbstractCompletableFutureAssert,56,33
org/assertj/core/api/AbstractDateAssert$1,13,3
org/assertj/core/api/AbstractDateAssert,313,102
org/assertj/core/api/AbstractDoubleArrayAssert,134,44
org/assertj/core/api/AbstractDoubleAssert,118,61
org/assertj/core/api/AbstractEnumerableAssert,18,7
org/assertj/core/api/AbstractFileAssert,84,22
org/assertj/core/api/AbstractFloatArrayAssert,133,44
org/assertj/core/api/AbstractFloatAssert,120,61
org/assertj/core/api/AbstractFutureAssert,20,5
org/assertj/core/api/AbstractInputStreamAssert,14,3
org/assertj/core/api/AbstractInstantAssert,82,32
org/assertj/core/api/AbstractIntArrayAssert,99,31
org/assertj/core/api/AbstractIntegerAssert,111,43
org/assertj/core/api/AbstractIterableAssert,430,250
org/assertj/core/api/AbstractIterableSizeAssert,7,2
org/assertj/core/api/AbstractListAssert,165,81
org/assertj/core/api/AbstractLocalDateAssert,61,33
org/assertj/core/api/AbstractLocalDateTimeAssert,84,56
org/assertj/core/api/AbstractLocalTimeAssert,74,45
org/assertj/core/api/AbstractLongArrayAssert,99,31
org/assertj/core/api/AbstractLongAssert,112,43
org/assertj/core/api/AbstractMapAssert,268,106
org/assertj/core/api/AbstractMapSizeAssert,7,2
org/assertj/core/api/AbstractObjectArrayAssert,314,171
org/assertj/core/api/AbstractObjectAssert,58,22
org/assertj/core/api/AbstractOffsetDateTimeAssert,89,64
org/assertj/core/api/AbstractOffsetTimeAssert,85,57
org/assertj/core/api/AbstractOptionalAssert,52,27
org/assertj/core/api/AbstractOptionalDoubleAssert,35,13
org/assertj/core/api/AbstractOptionalIntAssert,29,10
org/assertj/core/api/AbstractOptionalLongAssert,28,10
org/assertj/core/api/AbstractPathAssert,110,29
org/assertj/core/api/AbstractPredicateAssert,22,9
org/assertj/core/api/AbstractPredicateLikeAssert,18,7
org/assertj/core/api/AbstractShortArrayAssert,99,31
org/assertj/core/api/AbstractShortAssert,111,43
org/assertj/core/api/AbstractSoftAssertions,54,29
org/assertj/core/api/AbstractStandardSoftAssertions,117,22
org/assertj/core/api/AbstractTemporalAssert,23,6
org/assertj/core/api/AbstractThrowableAssert,71,20
org/assertj/core/api/AbstractUriAssert,65,19
org/assertj/core/api/AbstractUrlAssert,62,19
org/assertj/core/api/AbstractZonedDateTimeAssert,112,64
org/assertj/core/api/ArraySortedAssert,5,2
org/assertj/core/api/Assert,12,30
org/assertj/core/api/AssertDelegateTarget,3,0
org/assertj/core/api/AssertFactory,5,1
org/assertj/core/api/AssertionInfo,5,3
org/assertj/core/api/Assertions,304,162
org/assertj/core/api/AssertionsForClassTypes,174,104
org/assertj/core/api/AssertionsForInterfaceTypes,32,22
org/assertj/core/api/AssertProvider,5,1
org/assertj/core/api/AtomicBooleanAssert,24,7
org/assertj/core/api/AtomicIntegerArrayAssert,112,31
org/assertj/core/api/AtomicIntegerAssert,54,20
org/assertj/core/api/AtomicIntegerFieldUpdaterAssert,24,5
org/assertj/core/api/AtomicLongArrayAssert,112,31
org/assertj/core/api/AtomicLongAssert,54,20
org/assertj/core/api/AtomicLongFieldUpdaterAssert,24,5
org/assertj/core/api/AtomicMarkableReferenceAssert,21,8
org/assertj/core/api/AtomicReferenceArrayAssert,328,166
org/assertj/core/api/AtomicReferenceAssert,17,5
org/assertj/core/api/AtomicReferenceFieldUpdaterAssert,22,4
org/assertj/core/api/AtomicStampedReferenceAssert,20,6
org/assertj/core/api/AutoCloseableBDDSoftAssertions,10,2
org/assertj/core/api/AutoCloseableSoftAssertions,10,2
org/assertj/core/api/BDDAssertions,176,85
org/assertj/core/api/BDDSoftAssertions,13,3
org/assertj/core/api/BigDecimalAssert,7,1
org/assertj/core/api/BigIntegerAssert,7,1
org/assertj/core/api/BooleanArrayAssert,7,1
org/assertj/core/api/BooleanAssert,14,3
org/assertj/core/api/ByteArrayAssert,7,1
org/assertj/core/api/ByteAssert,7,1
org/assertj/core/api/CharacterAssert,7,1
org/assertj/core/api/CharArrayAssert,7,1
org/assertj/core/api/CharSequenceAssert,7,1
org/assertj/core/api/ClassAssert,11,3
org/assertj/core/api/ClassBasedNavigableIterableAssert,22,7
org/assertj/core/api/ClassBasedNavigableListAssert,30,7
org/assertj/core/api/ComparableAssert,7,8
org/assertj/core/api/ComparatorFactory$1,23,6
org/assertj/core/api/ComparatorFactory$2,24,6
org/assertj/core/api/ComparatorFactory,17,4
org/assertj/core/api/CompletableFutureAssert,7,1
org/assertj/core/api/Condition,35,16
org/assertj/core/api/DateAssert,7,1
org/assertj/core/api/Descriptable,6,4
org/assertj/core/api/DoubleArrayAssert,7,1
org/assertj/core/api/DoubleAssert,10,2
org/assertj/core/api/DoublePredicateAssert,22,7
org/assertj/core/api/EnumerableAssert,14,8
org/assertj/core/api/ErrorCollector$LastResult,36,14
org/assertj/core/api/exception/PathsException,9,1
org/assertj/core/api/exception/RuntimeIOException,13,2
org/assertj/core/api/ExtensionPoints,5,4
org/assertj/core/api/FactoryBasedNavigableIterableAssert,8,2
org/assertj/core/api/FactoryBasedNavigableListAssert,8,2
org/assertj/core/api/Fail,17,7
org/assertj/core/api/FileAssert,7,1
org/assertj/core/api/filter/FilterOperator,12,3
org/assertj/core/api/filter/Filters,40,34
org/assertj/core/api/filter/InFilter,11,3
org/assertj/core/api/filter/NotFilter,16,5
org/assertj/core/api/filter/NotInFilter,11,4
org/assertj/core/api/FloatArrayAssert,7,1
org/assertj/core/api/FloatAssert,10,2
org/assertj/core/api/FloatingPointNumberAssert,7,7
org/assertj/core/api/FutureAssert,7,1
org/assertj/core/api/GenericComparableAssert,7,1
org/assertj/core/api/HamcrestCondition,11,3
org/assertj/core/api/IndexedObjectEnumerableAssert,6,2
org/assertj/core/api/InputStreamAssert,7,1
org/assertj/core/api/InstantAssert,7,1
org/assertj/core/api/IntArrayAssert,11,2
org/assertj/core/api/IntegerAssert,14,3
org/assertj/core/api/IntPredicateAssert,22,7
org/assertj/core/api/iterable/Extractor,5,1
org/assertj/core/api/iterable/ThrowingExtractor,10,3
org/assertj/core/api/IterableAssert$LazyIterable,21,6
org/assertj/core/api/IterableAssert,116,73
org/assertj/core/api/IterableSizeAssert,12,2
org/assertj/core/api/Java6AbstractBDDSoftAssertions,238,58
org/assertj/core/api/Java6AbstractStandardSoftAssertions,239,58
org/assertj/core/api/Java6Assertions,163,127
org/assertj/core/api/Java6BDDAssertions,75,64
org/assertj/core/api/Java6BDDSoftAssertions,13,3
org/assertj/core/api/Java6JUnitBDDSoftAssertions$1,13,2
org/assertj/core/api/Java6JUnitBDDSoftAssertions,15,3
org/assertj/core/api/Java6JUnitSoftAssertions$1,13,2
org/assertj/core/api/Java6JUnitSoftAssertions,13,2
org/assertj/core/api/Java6SoftAssertions,13,3
org/assertj/core/api/JUnitBDDSoftAssertions$1,13,2
org/assertj/core/api/JUnitBDDSoftAssertions,15,3
org/assertj/core/api/JUnitSoftAssertions$1,13,2
org/assertj/core/api/JUnitSoftAssertions,13,2
org/assertj/core/api/ListAssert$ListFromStream,20,7
org/assertj/core/api/ListAssert,114,78
org/assertj/core/api/LocalDateAssert,7,1
org/assertj/core/api/LocalDateTimeAssert,7,1
org/assertj/core/api/LocalTimeAssert,7,1
org/assertj/core/api/LongArrayAssert,11,2
org/assertj/core/api/LongAssert,14,3
org/assertj/core/api/LongPredicateAssert,22,7
org/assertj/core/api/MapAssert,46,19
org/assertj/core/api/MapSizeAssert,12,2
org/assertj/core/api/NumberAssert,10,13
org/assertj/core/api/ObjectArrayAssert,12,2
org/assertj/core/api/ObjectAssert,12,3
org/assertj/core/api/ObjectAssertFactory,10,3
org/assertj/core/api/ObjectEnumerableAssert,30,51
org/assertj/core/api/OffsetDateTimeAssert,7,1
org/assertj/core/api/OffsetTimeAssert,7,1
org/assertj/core/api/OptionalAssert,7,1
org/assertj/core/api/OptionalDoubleAssert,7,1
org/assertj/core/api/OptionalIntAssert,7,1
org/assertj/core/api/OptionalLongAssert,7,1
org/assertj/core/api/PathAssert,7,1
org/assertj/core/api/PredicateAssert,15,5
org/assertj/core/api/ShortArrayAssert,7,1
org/assertj/core/api/ShortAssert,7,1
org/assertj/core/api/SoftAssertionClassAssert,7,1
org/assertj/core/api/SoftAssertionError,30,6
org/assertj/core/api/SoftAssertionIterableAssert,13,3
org/assertj/core/api/SoftAssertionListAssert,10,2
org/assertj/core/api/SoftAssertionMapAssert,7,1
org/assertj/core/api/SoftAssertionPredicateAssert,7,1
org/assertj/core/api/SoftAssertions,18,4
org/assertj/core/api/StringAssert,7,1
org/assertj/core/api/ThrowableAssert$ThrowingCallable,7,1
org/assertj/core/api/ThrowableAssert,19,6
org/assertj/core/api/ThrowableAssertAlternative,49,18
org/assertj/core/api/ThrowableTypeAssert,35,10
org/assertj/core/api/UriAssert,7,1
org/assertj/core/api/UrlAssert,7,1
org/assertj/core/api/WithAssertions,215,161
org/assertj/core/api/WithAssumptions,215,78
org/assertj/core/api/WritableAssertionInfo,46,21
org/assertj/core/api/ZonedDateTimeAssert,7,1
org/assertj/core/condition/AllOf,21,8
org/assertj/core/condition/AnyOf,21,8
org/assertj/core/condition/DoesNotHave,10,3
org/assertj/core/condition/Join,20,9
org/assertj/core/condition/Negative,14,3
org/assertj/core/condition/Not,10,3
org/assertj/core/configuration/ConfigurationProvider,11,3
org/assertj/core/configuration/Services,18,4
org/assertj/core/data/Index,21,10
org/assertj/core/data/MapEntry,28,11
org/assertj/core/data/Offset,24,9
org/assertj/core/data/Percentage,28,12
org/assertj/core/data/TemporalOffset,5,2
org/assertj/core/data/TemporalUnitLessThanOffset,19,4
org/assertj/core/data/TemporalUnitOffset,26,7
org/assertj/core/data/TemporalUnitWithinOffset,18,4
org/assertj/core/description/Description,22,9
org/assertj/core/description/EmptyTextDescription,10,3
org/assertj/core/description/TextDescription,22,11
org/assertj/core/error/AbstractShouldHaveTextContent,22,4
org/assertj/core/error/AssertionErrorFactory,3,1
org/assertj/core/error/BasicErrorMessageFactory$UnquotedString,23,15
org/assertj/core/error/BasicErrorMessageFactory,28,12
org/assertj/core/error/ClassModifierShouldBe,20,6
org/assertj/core/error/ConditionAndGroupGenericParameterTypeShouldBeTheSame,12,2
org/assertj/core/error/ConstructorInvoker$SetAccessibleValueAction,20,4
org/assertj/core/error/ConstructorInvoker,25,4
org/assertj/core/error/DescriptionFormatter,18,6
org/assertj/core/error/ElementsShouldBe,9,2
org/assertj/core/error/ElementsShouldBeAtLeast,10,2
org/assertj/core/error/ElementsShouldBeAtMost,10,2
org/assertj/core/error/ElementsShouldBeExactly,10,2
org/assertj/core/error/ElementsShouldHave,9,2
org/assertj/core/error/ElementsShouldHaveAtLeast,10,2
org/assertj/core/error/ElementsShouldHaveAtMost,10,2
org/assertj/core/error/ElementsShouldHaveExactly,10,2
org/assertj/core/error/ElementsShouldMatch,13,4
org/assertj/core/error/ElementsShouldNotBe,9,2
org/assertj/core/error/ElementsShouldNotHave,9,2
org/assertj/core/error/ElementsShouldSatisfy,9,4
org/assertj/core/error/ErrorMessageFactory,3,3
org/assertj/core/error/future/ShouldBeCancelled,9,2
org/assertj/core/error/future/ShouldBeCompleted,9,2
org/assertj/core/error/future/ShouldBeCompletedExceptionally,9,2
org/assertj/core/error/future/ShouldBeDone,9,2
org/assertj/core/error/future/ShouldHaveFailed,9,2
org/assertj/core/error/future/ShouldNotBeCancelled,9,2
org/assertj/core/error/future/ShouldNotBeCompleted,9,2
org/assertj/core/error/future/ShouldNotBeCompletedExceptionally,9,2
org/assertj/core/error/future/ShouldNotBeDone,9,2
org/assertj/core/error/future/ShouldNotHaveFailed,9,2
org/assertj/core/error/MessageFormatter,26,8
org/assertj/core/error/NoElementsShouldMatch,9,2
org/assertj/core/error/OptionalDoubleShouldHaveValueCloseTo,18,4
org/assertj/core/error/OptionalShouldBeEmpty,27,5
org/assertj/core/error/OptionalShouldBePresent,14,2
org/assertj/core/error/OptionalShouldContain,29,13
org/assertj/core/error/OptionalShouldContainInstanceOf,20,3
org/assertj/core/error/ShouldAccept,10,2
org/assertj/core/error/ShouldBe,15,2
org/assertj/core/error/ShouldBeAbsolutePath,11,4
org/assertj/core/error/ShouldBeAfter,26,4
org/assertj/core/error/ShouldBeAfterOrEqualsTo,16,3
org/assertj/core/error/ShouldBeAfterYear,17,3
org/assertj/core/error/ShouldBeAnArray,11,2
org/assertj/core/error/ShouldBeAnnotation,21,4
org/assertj/core/error/ShouldBeAssignableFrom,9,2
org/assertj/core/error/ShouldBeAtIndex,10,2
org/assertj/core/error/ShouldBeBefore,16,3
org/assertj/core/error/ShouldBeBeforeOrEqualsTo,16,3
org/assertj/core/error/ShouldBeBeforeYear,17,3
org/assertj/core/error/ShouldBeBetween,24,10
org/assertj/core/error/ShouldBeBlank,12,2
org/assertj/core/error/ShouldBeCanonicalPath,9,2
org/assertj/core/error/ShouldBeCloseTo,25,4
org/assertj/core/error/ShouldBeDirectory,13,4
org/assertj/core/error/ShouldBeEmpty,12,2
org/assertj/core/error/ShouldBeEqual,46,31
org/assertj/core/error/ShouldBeEqualByComparingFieldByFieldRecursively,31,6
org/assertj/core/error/ShouldBeEqualByComparingOnlyGivenFields,13,4
org/assertj/core/error/ShouldBeEqualIgnoringCase,15,2
org/assertj/core/error/ShouldBeEqualIgnoringHours,14,2
org/assertj/core/error/ShouldBeEqualIgnoringMinutes,32,6
org/assertj/core/error/ShouldBeEqualIgnoringNanos,31,6
org/assertj/core/error/ShouldBeEqualIgnoringNewLineDifferences,13,2
org/assertj/core/error/ShouldBeEqualIgnoringSeconds,32,6
org/assertj/core/error/ShouldBeEqualIgnoringTimezone,18,3
org/assertj/core/error/ShouldBeEqualIgnoringWhitespace,14,2
org/assertj/core/error/ShouldBeEqualNormalizingWhitespace,14,2
org/assertj/core/error/ShouldBeEqualToIgnoringFields,21,8
org/assertj/core/error/ShouldBeEqualWithinOffset,10,2
org/assertj/core/error/ShouldBeEqualWithinPercentage,14,2
org/assertj/core/error/ShouldBeEqualWithTimePrecision,21,7
org/assertj/core/error/ShouldBeExactlyInstanceOf,13,4
org/assertj/core/error/ShouldBeExecutable,16,4
org/assertj/core/error/ShouldBeFile,11,2
org/assertj/core/error/ShouldBeGreater,14,3
org/assertj/core/error/ShouldBeGreaterOrEqual,14,3
